Distance,True Count,Unc
0.02,11217.0167,33.28708458
0.04,5135.346009,22.59756624
0.05,3861.93661,19.61020143
0.075,1960.418468,13.98642199
0.1,1219.834603,11.03720979
0.15,589.4819902,7.67528501
0.2,324.4794106,5.43024892
0.25,205.4630928,4.1373972
0.3,146.5950639,3.23564333
0.35,105.2121752,2.29346899
0.4,77.89128857,1.73076923
0.45,61.592408,1.34588955
0.5,49.18043822,1.04538964
0.55,41.74767978,0.84116306
0.6,34.36129872,0.67685547
0.65,28.97845179,0.57060512
0.7,24.51494678,0.4831867
