Distance,Act,UnAct
0.02,4.43212,0.445207508
0.04,8.1704,0.424218376
0.05,9.614,0.414634048
0.075,11.003625,0.384703204
0.1,12.182,0.425652969
0.15,13.25475,0.573990739
0.2,12.97454545,0.731994331
0.25,12.83854167,0.901641756
0.3,13.19142857,1.093143411
0.35,12.887,1.258602538
0.4,12.46153846,1.413410203
0.45,12.47161765,1.590149362
0.5,12.29444444,1.75386133
0.55,12.62809322,1.95502094
0.6,12.3696,2.110629308
0.65,12.24300562,2.274662384
0.7,12.012,2.426326001
