EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
275.403,0,0,0
297.011,0,0,0
298.327,0,0,0
297.927,0,0,0
298.08,0,0,0
298.102,0,0,0
297.14,0,0,0
298.009,0,0,0
298.726,0,0,0
297.568,0,0,0
243.996,0,0,0
269.421,0,0,0
299.113,0,0,0
298.155,0,0,0
298.523,0,0,0
216.438,0,0,0
242.254,0,0,0
297.708,0,0,0
298.683,0,0,0
298.33,0,0,0
296.732,0,0,0
298.918,0,0,0
297.708,0,0,0
296.042,0,0,0
155.694,0,0,0
102.61,0,0,0
298.812,0,0,0
297,0,0,0
296.275,0,0,0
216.031,0,0,0
298.685,0,0,0
299.059,0,0,0
296.568,0,0,0
298.293,0,0,0
298.036,0,0,0
299.31,0,0,0
156.03,0,0,0
296.648,0,0,0
297.388,0,0,0
298.434,0,0,0
194.916,0,0,0
298.735,0,0,0
297.81,0,0,0
299.064,0,0,0
299.018,0,0,0
101.416,0,0,0
297.756,0,0,0
180.244,0,0,0
163.643,0,0,0
294.638,0,0,0
222.964,0,0,0
127.499,0,0,0
298.571,0,0,0
288.035,0,0,0
294.47,0,0,0
299.243,0,0,0
234.697,0,0,0
50.4405,0,0,0
298.073,0,0,0
177.999,0,0,0
298.549,0,0,0
204.243,0,0,0
298.613,0,0,0
298.7,0,0,0
284.834,0,0,0
298.931,0,0,0
297.969,0,0,0
297.921,0,0,0
299.453,0,0,0
298.585,0,0,0
297.733,0,0,0
143.888,0,0,0
290.895,0,0,0
296.939,0,0,0
298.285,0,0,0
298.518,0,0,0
81.632,0,0,0
115.581,0,0,0
298.344,0,0,0
297.977,0,0,0
297.882,0,0,0
296.814,0,0,0
297.435,0,0,0
298.164,0,0,0
299.227,0,0,0
295.932,0,0,0
298.451,0,0,0
298.526,0,0,0
187.905,0,0,0
298.561,0,0,0
296.906,0,0,0
168.819,0,0,0
297.898,0,0,0
297.271,0,0,0
298.891,0,0,0
297.449,0,0,0
297.53,0,0,0
242.165,0,0,0
298.285,0,0,0
297.723,0,0,0
