d (m),n,delta t (s),unc n
0.02,110803,10,332.8708458
0.04,51065,10,225.9756624
0.05,38456,10,196.1020143
0.075,19562,10,139.8642199
0.1,12182,10,110.3720979
0.15,5891,10,76.75285011
0.2,3568,11,59.73273809
0.25,2465,12,49.64876635
0.3,2052,14,45.29900661
0.35,2104,20,45.86937976
0.4,2025,26,45
0.45,2094,34,45.76024475
0.5,2213,45,47.04253395
0.55,2463,59,49.62862077
0.6,2577,75,50.76416059
0.65,2579,89,50.7838557
0.7,2574,105,50.73460358
