EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
71.0699,0,0,0
219.08,0,0,0
81.4455,0,0,0
126.7,0,0,0
86.3663,0,0,0
77.1639,0,0,0
93.8526,0,0,0
130.439,0,0,0
81.6239,0,0,0
118.755,0,0,0
125.655,0,0,0
109.43,0,0,0
76.9978,0,0,0
285.868,0,0,0
91.2157,0,0,0
82.6283,0,0,0
87.66,0,0,0
92.5486,0,0,0
105.528,0,0,0
80.4926,0,0,0
237.456,0,0,0
69.8516,0,0,0
84.7411,0,0,0
199.653,0,0,0
303.536,0,0,0
79.8165,0,0,0
90.4887,0,0,0
80.6895,0,0,0
94.8421,0,0,0
104.215,0,0,0
77.5543,0,0,0
70.1327,0,0,0
74.918,0,0,0
108.554,0,0,0
99.3091,0,0,0
81.1085,0,0,0
132.014,0,0,0
100.701,0,0,0
111.25,0,0,0
100.587,0,0,0
81.2577,0,0,0
100.667,0,0,0
69.0576,0,0,0
96.2128,0,0,0
79.684,0,0,0
70.0744,0,0,0
96.4421,0,0,0
78.4146,0,0,0
82.1082,0,0,0
64.4365,0,0,0
72.7571,0,0,0
93.1948,0,0,0
72.5415,0,0,0
63.3769,0,0,0
87.8424,0,0,0
99.0969,0,0,0
78.5144,0,0,0
76.831,0,0,0
91.0696,0,0,0
83.4667,0,0,0
120.605,0,0,0
107.883,0,0,0
81.355,0,0,0
70.5306,0,0,0
252.993,0,0,0
89.0811,0,0,0
75.0256,0,0,0
107.061,0,0,0
139.64,0,0,0
102.996,0,0,0
100.004,0,0,0
88.5126,0,0,0
104.84,0,0,0
100.141,0,0,0
136.931,0,0,0
86.9569,0,0,0
85.6995,0,0,0
62.4499,0,0,0
108.112,0,0,0
109.938,0,0,0
84.3028,0,0,0
69.4277,0,0,0
81.8682,0,0,0
97.785,0,0,0
77.5453,0,0,0
69.7066,0,0,0
91.2112,0,0,0
140.268,0,0,0
81.9155,0,0,0
125.181,0,0,0
110.016,0,0,0
78.1372,0,0,0
112.899,0,0,0
72.2966,0,0,0
71.1775,0,0,0
89.7965,0,0,0
103.985,0,0,0
72.0075,0,0,0
76.462,0,0,0
111.691,0,0,0
119.032,0,0,0
485.764,0,0,0
142.243,0,0,0
292.488,0,0,0
76.6016,0,0,0
100.762,0,0,0
99.2919,0,0,0
232.109,0,0,0
142.062,0,0,0
104.759,0,0,0
83.1741,0,0,0
71.6505,0,0,0
159.719,0,0,0
97.2774,0,0,0
120.962,0,0,0
101.087,0,0,0
113.392,0,0,0
155.143,0,0,0
89.6123,0,0,0
148.003,0,0,0
82.9771,0,0,0
119.94,0,0,0
82.0996,0,0,0
95.5301,0,0,0
114.572,0,0,0
75.9745,0,0,0
128.186,0,0,0
87.7126,0,0,0
79.5337,0,0,0
115.777,0,0,0
136.642,0,0,0
84.2341,0,0,0
129.544,0,0,0
78.132,0,0,0
122.777,0,0,0
77.0893,0,0,0
128.619,0,0,0
122.709,0,0,0
75.5108,0,0,0
81.9004,0,0,0
117.862,0,0,0
258.071,0,0,0
106.041,0,0,0
283.252,0,0,0
79.1384,0,0,0
63.4196,0,0,0
88.5496,0,0,0
76.2032,0,0,0
103.389,0,0,0
71.221,0,0,0
87.2227,0,0,0
62.6792,0,0,0
126.147,0,0,0
89.8778,0,0,0
150.964,0,0,0
138.414,0,0,0
76.6322,0,0,0
179.105,0,0,0
82.9466,0,0,0
63.3714,0,0,0
65.72,0,0,0
95.3172,0,0,0
108.64,0,0,0
219.133,0,0,0
153.604,0,0,0
84.1893,0,0,0
103.712,0,0,0
112.698,0,0,0
66.7946,0,0,0
74.571,0,0,0
85.6657,0,0,0
69.6297,0,0,0
94.5524,0,0,0
82.3619,0,0,0
64.5266,0,0,0
89.7012,0,0,0
79.4681,0,0,0
72.5135,0,0,0
95.7689,0,0,0
77.6375,0,0,0
88.549,0,0,0
84.7403,0,0,0
123.657,0,0,0
88.6921,0,0,0
63.5976,0,0,0
428.88,0,0,0
78.5116,0,0,0
76.6044,0,0,0
93.3793,0,0,0
113.196,0,0,0
101.831,0,0,0
90.6244,0,0,0
109.573,0,0,0
94.3164,0,0,0
88.6667,0,0,0
148.887,0,0,0
92.4227,0,0,0
172.378,0,0,0
138.707,0,0,0
81.7846,0,0,0
91.2038,0,0,0
87.5924,0,0,0
116.34,0,0,0
73.5705,0,0,0
69.4945,0,0,0
103.358,0,0,0
84.6058,0,0,0
82.6887,0,0,0
99.0057,0,0,0
75.2332,0,0,0
85.8988,0,0,0
79.1977,0,0,0
114.017,0,0,0
72.578,0,0,0
88.5054,0,0,0
122.932,0,0,0
90.4584,0,0,0
98.0557,0,0,0
88.3006,0,0,0
81.0886,0,0,0
67.1794,0,0,0
116.437,0,0,0
64.8531,0,0,0
143.448,0,0,0
83.4901,0,0,0
80.9405,0,0,0
89.8948,0,0,0
124.72,0,0,0
106.621,0,0,0
96.3003,0,0,0
86.0466,0,0,0
75.9079,0,0,0
101.553,0,0,0
103.172,0,0,0
115.992,0,0,0
79.8218,0,0,0
69.4025,0,0,0
248.791,0,0,0
108.231,0,0,0
132.637,0,0,0
71.1647,0,0,0
123.447,0,0,0
74.6261,0,0,0
95.127,0,0,0
106.426,0,0,0
132.484,0,0,0
90.4675,0,0,0
93.1304,0,0,0
90.2951,0,0,0
74.1008,0,0,0
106.003,0,0,0
125.192,0,0,0
75.5385,0,0,0
98.0474,0,0,0
109.65,0,0,0
75.6721,0,0,0
83.3915,0,0,0
87.3669,0,0,0
73.2651,0,0,0
101.266,0,0,0
91.5459,0,0,0
133.113,0,0,0
72.8733,0,0,0
88.2711,0,0,0
75.6281,0,0,0
89.5426,0,0,0
141.343,0,0,0
87.4504,0,0,0
75.1191,0,0,0
94.3958,0,0,0
84.7453,0,0,0
106.145,0,0,0
74.5312,0,0,0
99.8892,0,0,0
110.428,0,0,0
83.7854,0,0,0
78.4055,0,0,0
220.765,0,0,0
89.718,0,0,0
87.9776,0,0,0
102.4,0,0,0
158.007,0,0,0
192.356,0,0,0
97.0517,0,0,0
95.0683,0,0,0
132.73,0,0,0
71.4584,0,0,0
71.4597,0,0,0
67.5109,0,0,0
146.175,0,0,0
74.2594,0,0,0
73.1021,0,0,0
86.6874,0,0,0
85.4562,0,0,0
63.1426,0,0,0
85.1801,0,0,0
121.515,0,0,0
81.6221,0,0,0
81.1654,0,0,0
74.2785,0,0,0
83.7459,0,0,0
76.6373,0,0,0
91.3703,0,0,0
73.0409,0,0,0
118.137,0,0,0
125.963,0,0,0
93.4381,0,0,0
457.141,0,0,0
82.5858,0,0,0
62.6827,0,0,0
113.564,0,0,0
83.7622,0,0,0
85.2557,0,0,0
164.265,0,0,0
84.4503,0,0,0
261.023,0,0,0
152.226,0,0,0
92.145,0,0,0
85.7524,0,0,0
93.7464,0,0,0
64.6382,0,0,0
96.5677,0,0,0
94.6108,0,0,0
165.114,0,0,0
115.976,0,0,0
115.32,0,0,0
95.1093,0,0,0
88.6761,0,0,0
127.687,0,0,0
90.0864,0,0,0
131.315,0,0,0
169.899,0,0,0
104.669,0,0,0
244.179,0,0,0
92.7729,0,0,0
72.8211,0,0,0
89.0499,0,0,0
110.622,0,0,0
104.968,0,0,0
97.5942,0,0,0
101.129,0,0,0
119.088,0,0,0
86.9718,0,0,0
89.304,0,0,0
237.8,0,0,0
101.094,0,0,0
100.423,0,0,0
92.3857,0,0,0
101.684,0,0,0
72.0633,0,0,0
82.9525,0,0,0
87.7659,0,0,0
97.6064,0,0,0
92.5659,0,0,0
97.2247,0,0,0
77.4077,0,0,0
99.5003,0,0,0
102.807,0,0,0
108.397,0,0,0
125.685,0,0,0
94.6906,0,0,0
91.6033,0,0,0
95.5283,0,0,0
139.112,0,0,0
123.953,0,0,0
123.559,0,0,0
249.54,0,0,0
93.801,0,0,0
102.435,0,0,0
74.6089,0,0,0
105.937,0,0,0
105.783,0,0,0
71.3339,0,0,0
73.5796,0,0,0
104.743,0,0,0
82.7288,0,0,0
431.345,0,0,0
99.3761,0,0,0
72.5851,0,0,0
71.1274,0,0,0
73.2758,0,0,0
100.006,0,0,0
82.8023,0,0,0
81.9002,0,0,0
115.338,0,0,0
184.525,0,0,0
72.8956,0,0,0
86.2711,0,0,0
90.9553,0,0,0
70.452,0,0,0
91.9455,0,0,0
116.455,0,0,0
76.2814,0,0,0
86.5779,0,0,0
100.937,0,0,0
73.1393,0,0,0
117.508,0,0,0
78.4095,0,0,0
230.319,0,0,0
78.0286,0,0,0
97.4667,0,0,0
86.883,0,0,0
82.2174,0,0,0
92.5501,0,0,0
94.894,0,0,0
88.7731,0,0,0
120.679,0,0,0
68.9807,0,0,0
193.486,0,0,0
140.535,0,0,0
97.1335,0,0,0
109.077,0,0,0
66.3154,0,0,0
100.021,0,0,0
95.3891,0,0,0
156.961,0,0,0
92.5717,0,0,0
129.295,0,0,0
64.7073,0,0,0
195.451,0,0,0
100.138,0,0,0
173.02,0,0,0
89.594,0,0,0
95.7033,0,0,0
135.812,0,0,0
97.1715,0,0,0
164.171,0,0,0
79.7507,0,0,0
80.7241,0,0,0
88.6667,0,0,0
139.966,0,0,0
103.452,0,0,0
84.8456,0,0,0
85.9692,0,0,0
81.029,0,0,0
286.85,0,0,0
168.188,0,0,0
591.877,0,0,0
72.8782,0,0,0
168.791,0,0,0
88.3401,0,0,0
88.1936,0,0,0
110.525,0,0,0
77.7279,0,0,0
82.1462,0,0,0
82.3658,0,0,0
96.9837,0,0,0
107.099,0,0,0
85.9395,0,0,0
76.3899,0,0,0
78.9474,0,0,0
89.611,0,0,0
80.4247,0,0,0
82.1544,0,0,0
60.9076,0,0,0
88.0996,0,0,0
105.67,0,0,0
93.7525,0,0,0
72.1087,0,0,0
101.82,0,0,0
93.9046,0,0,0
97.0038,0,0,0
79.8385,0,0,0
88.9616,0,0,0
118.749,0,0,0
59.7027,0,0,0
99.5538,0,0,0
78.9036,0,0,0
72.7518,0,0,0
80.6346,0,0,0
110.232,0,0,0
87.4025,0,0,0
94.3059,0,0,0
83.8505,0,0,0
82.3668,0,0,0
88.8474,0,0,0
107.687,0,0,0
84.5248,0,0,0
83.9464,0,0,0
88.2932,0,0,0
87.758,0,0,0
80.4502,0,0,0
75.0167,0,0,0
199.12,0,0,0
89.0607,0,0,0
91.0868,0,0,0
82.5087,0,0,0
74.266,0,0,0
80.1858,0,0,0
76.4531,0,0,0
89.3211,0,0,0
61.8432,0,0,0
117.713,0,0,0
121.669,0,0,0
75.1722,0,0,0
86.7985,0,0,0
103.12,0,0,0
82.5406,0,0,0
84.0371,0,0,0
148.678,0,0,0
160.653,0,0,0
86.1719,0,0,0
71.8163,0,0,0
77.441,0,0,0
168.726,0,0,0
74.3922,0,0,0
109.874,0,0,0
75.5469,0,0,0
74.6185,0,0,0
92.4142,0,0,0
70.8659,0,0,0
113.413,0,0,0
67.9677,0,0,0
233.759,0,0,0
83.4494,0,0,0
81.9176,0,0,0
94.6102,0,0,0
130.739,0,0,0
92.2101,0,0,0
105.234,0,0,0
104.28,0,0,0
107.809,0,0,0
136.437,0,0,0
77.8543,0,0,0
88.2871,0,0,0
94.0077,0,0,0
92.5925,0,0,0
79.3102,0,0,0
86.351,0,0,0
80.6894,0,0,0
115.051,0,0,0
138.918,0,0,0
83.5523,0,0,0
155.209,0,0,0
82.2838,0,0,0
108.404,0,0,0
96.0154,0,0,0
210.209,0,0,0
79.901,0,0,0
124.516,0,0,0
185.443,0,0,0
123.034,0,0,0
79.7799,0,0,0
71.0308,0,0,0
104.111,0,0,0
75.519,0,0,0
85.9684,0,0,0
113.843,0,0,0
86.6552,0,0,0
96.1153,0,0,0
77.9285,0,0,0
79.7977,0,0,0
85.9238,0,0,0
64.6185,0,0,0
86.0539,0,0,0
217.301,0,0,0
110.173,0,0,0
217.945,0,0,0
88.5989,0,0,0
101.829,0,0,0
287.155,0,0,0
97.3786,0,0,0
86.3466,0,0,0
94.251,0,0,0
79.0121,0,0,0
79.3556,0,0,0
77.497,0,0,0
81.5573,0,0,0
73.0432,0,0,0
83.0398,0,0,0
84.3644,0,0,0
101.284,0,0,0
64.4295,0,0,0
76.8233,0,0,0
81.0601,0,0,0
101.075,0,0,0
89.1069,0,0,0
65.5635,0,0,0
103.716,0,0,0
74.9739,0,0,0
95.0835,0,0,0
127.448,0,0,0
104.608,0,0,0
97.8207,0,0,0
119.464,0,0,0
88.383,0,0,0
89.2432,0,0,0
76.6376,0,0,0
108.876,0,0,0
285.042,0,0,0
112.699,0,0,0
95.9305,0,0,0
69.7145,0,0,0
77.7092,0,0,0
84.3997,0,0,0
82.9699,0,0,0
105.634,0,0,0
148.482,0,0,0
96.0115,0,0,0
316.647,0,0,0
93.418,0,0,0
116.188,0,0,0
219.688,0,0,0
109.685,0,0,0
95.3684,0,0,0
65.0232,0,0,0
163.019,0,0,0
112.376,0,0,0
187.852,0,0,0
96.7766,0,0,0
115.709,0,0,0
65.8014,0,0,0
153.763,0,0,0
105.818,0,0,0
111.778,0,0,0
100.459,0,0,0
98.2214,0,0,0
141.022,0,0,0
95.6858,0,0,0
118.71,0,0,0
91.4485,0,0,0
105.927,0,0,0
104.447,0,0,0
82.3804,0,0,0
86.5489,0,0,0
142.549,0,0,0
97.1811,0,0,0
95.0178,0,0,0
76.8079,0,0,0
82.4455,0,0,0
62.3128,0,0,0
100.077,0,0,0
87.2539,0,0,0
77.6099,0,0,0
137.49,0,0,0
86.5769,0,0,0
86.7786,0,0,0
95.5416,0,0,0
85.1195,0,0,0
92.6054,0,0,0
84.2821,0,0,0
98.5853,0,0,0
82.6935,0,0,0
115.156,0,0,0
88.4719,0,0,0
106.592,0,0,0
88.444,0,0,0
84.0891,0,0,0
75.0495,0,0,0
143.869,0,0,0
87.9937,0,0,0
113.254,0,0,0
113.637,0,0,0
263.652,0,0,0
78.4924,0,0,0
252.499,0,0,0
94.7526,0,0,0
100.981,0,0,0
116.969,0,0,0
75.26,0,0,0
81.4638,0,0,0
92.5556,0,0,0
150.583,0,0,0
98.0271,0,0,0
70.3149,0,0,0
113.743,0,0,0
77.9345,0,0,0
89.8986,0,0,0
85.5017,0,0,0
116.444,0,0,0
93.243,0,0,0
139.819,0,0,0
112.524,0,0,0
84.885,0,0,0
81.4523,0,0,0
71.1521,0,0,0
94.9722,0,0,0
78.0466,0,0,0
87.6637,0,0,0
96.0607,0,0,0
81.6478,0,0,0
104.509,0,0,0
94.8446,0,0,0
102.187,0,0,0
85.9523,0,0,0
96.8906,0,0,0
80.7373,0,0,0
109.117,0,0,0
137.394,0,0,0
85.2651,0,0,0
122.267,0,0,0
108.9,0,0,0
73.1084,0,0,0
89.4482,0,0,0
125.26,0,0,0
143.337,0,0,0
191.021,0,0,0
98.9981,0,0,0
143.339,0,0,0
106.499,0,0,0
91.3202,0,0,0
87.0657,0,0,0
193.383,0,0,0
102.49,0,0,0
81.0505,0,0,0
99.5662,0,0,0
73.9859,0,0,0
244.213,0,0,0
93.9991,0,0,0
82.9191,0,0,0
77.9845,0,0,0
73.3542,0,0,0
114.14,0,0,0
81.8281,0,0,0
76.2519,0,0,0
92.0029,0,0,0
95.5452,0,0,0
89.0515,0,0,0
87.6078,0,0,0
89.6897,0,0,0
91.8982,0,0,0
424.116,0,0,0
107.906,0,0,0
124.403,0,0,0
90.4413,0,0,0
110.58,0,0,0
78.3448,0,0,0
79.9207,0,0,0
74.5197,0,0,0
66.2625,0,0,0
109.366,0,0,0
96.7025,0,0,0
108.757,0,0,0
78.3125,0,0,0
72.4034,0,0,0
124.922,0,0,0
236.54,0,0,0
72.4318,0,0,0
78.6968,0,0,0
89.8566,0,0,0
65.7747,0,0,0
103.49,0,0,0
131.978,0,0,0
68.6044,0,0,0
92.3996,0,0,0
113.607,0,0,0
86.0211,0,0,0
177.954,0,0,0
91.1922,0,0,0
97.9166,0,0,0
176.975,0,0,0
86.5384,0,0,0
67.336,0,0,0
103.166,0,0,0
84.5579,0,0,0
78.0587,0,0,0
79.0458,0,0,0
169.22,0,0,0
114.324,0,0,0
76.9106,0,0,0
126.062,0,0,0
131.8,0,0,0
97.8217,0,0,0
84.209,0,0,0
79.7818,0,0,0
140.988,0,0,0
83.5131,0,0,0
83.9748,0,0,0
161.773,0,0,0
85.8821,0,0,0
179.463,0,0,0
94.8509,0,0,0
100.463,0,0,0
89.6769,0,0,0
95.3408,0,0,0
86.8287,0,0,0
119.915,0,0,0
90.2761,0,0,0
80.5599,0,0,0
96.0413,0,0,0
63.249,0,0,0
91.1144,0,0,0
79.7863,0,0,0
64.2481,0,0,0
79.8086,0,0,0
90.5338,0,0,0
